夺冠,上映3天,1.67亿,4061.18
﻿八佰,上映38天,30.15亿,1366.68
信条,上映24天,4.40亿,264.99
花木兰,上映17天,2.72亿,184.46
菊次郎的夏天,上映3天,596.3万,126.30
秀美人生,上映22天,1581.3万,82.70
死无对证,上映10天,2801.2万,50.34
半条棉被,上映24天,415.8万,24.13
我在时间尽头等你,上映34天,5.04亿,20.32
萌宠流浪记,上映10天,864.2万,18.26
1/2的魔法,上映40天,6764.4万,17.85
麦路人,上映11天,1763.7万,15.52
阿里巴巴与神灯,上映23天,1796.0万,10.76
蓝色防线,上映10天,677.0万,6.46
小妇人,上映34天,4725.3万,4.16
假面饭店,上映24天,1692.6万,3.76
新愚公移山,上映18天,185.2万,3.38
北平会馆,上映39天,804.2万,2.12
误杀,,13.32亿,2.11
盗梦空间,,4.95亿,1.60
辉夜大小姐想让我告白,上映17天,394.7万,1.32
邻里美好的一天,上映10天,190.5万,1.24
夺冠,上映2天,1.26亿,7061.52
八佰,上映37天,30.01亿,2201.54
信条,上映23天,4.37亿,505.57
花木兰,上映16天,2.71亿,351.17
菊次郎的夏天,上映2天,470.0万,261.74
萌宠流浪记,上映9天,845.9万,134.75
1/2的魔法,上映39天,6746.6万,95.11
死无对证,上映9天,2750.9万,94.67
秀美人生,上映21天,1498.6万,73.85
我在时间尽头等你,上映33天,5.04亿,42.03
一点就到家,点映,36.9万,36.50
麦路人,上映10天,1748.2万,24.21
阿里巴巴与神灯,上映22天,1785.3万,16.35
蓝色防线,上映9天,670.5万,13.72
半条棉被,上映23天,391.7万,8.88
小妇人,上映33天,4721.2万,7.61
假面饭店,上映23天,1688.8万,7.59
芙蓉渡,上映16天,17.5万,5.48
迷失的心,上映3天,7.6万,5.23
误杀,,13.32亿,5.00
追梦险途,上映39天,80.6万,4.90
港珠澳大桥,,837.7万,4.16
哈利·波特与魔法石,,2.47亿,3.99
骄傲的少年,上映17天,9.9万,3.12
北平会馆,上映38天,802.1万,3.09
盗梦空间,,4.95亿,2.71
食神归来,上映2天,4.4万,2.65
辉夜大小姐想让我告白,上映16天,393.4万,2.40
邻里美好的一天,上映9天,189.3万,2.26
新愚公移山,上映17天,181.8万,1.94
赤焰,上映2天,2.8万,1.86
攀登者,,10.98亿,1.65
通往春天的列车,上映10天,319.2万,1.58
雪人奇缘,,1.45亿,1.50
大河向东流之沁源故事,上映30天,26.5万,1.27
魔发精灵2,上映37天,686.9万,1.24
朝颜,上映5天,6.0万,1.19
未知嫌疑人,上映17天,140.0万,1.15
星际穿越,,8.76亿,1.00
夺冠,上映首日,5630.6万,5509.75
八佰,上映36天,29.79亿,1930.05
信条,上映22天,4.32亿,285.15
花木兰,上映15天,2.67亿,264.89
菊次郎的夏天,上映首日,208.3万,208.30
秀美人生,上映20天,1424.7万,125.25
死无对证,上映8天,2656.2万,90.49
半条棉被,上映22天,382.8万,40.50
我在时间尽头等你,上映32天,5.03亿,39.54
麦路人,上映9天,1724.0万,33.31
蓝色防线,上映8天,656.8万,18.58
萌宠流浪记,上映8天,711.2万,17.35
1/2的魔法,上映38天,6651.5万,11.08
误杀,,13.32亿,10.40
阿里巴巴与神灯,上映21天,1768.9万,9.00
追梦险途,上映38天,75.7万,8.30
坚守1200秒,上映9天,29.6万,7.49
半条被子,上映21天,41.3万,4.80
芙蓉渡,上映15天,12.0万,4.25
假面饭店,上映22天,1681.3万,4.22
小妇人,上映32天,4713.5万,4.13
港珠澳大桥,,833.5万,3.03
北平会馆,上映37天,799.0万,2.73
邻里美好的一天,上映8天,187.0万,2.60
未知嫌疑人,上映16天,138.9万,2.42
无“疯”也起浪,上映29天,150.6万,2.39
迷失的心,上映2天,2.3万,2.23
攀登者,,10.98亿,2.16
雪人奇缘,,1.45亿,1.87
食神归来,上映首日,1.7万,1.78
盗梦空间,,4.95亿,1.73
骄傲的少年,上映16天,6.8万,1.57
哈利·波特与魔法石,,2.47亿,1.53
大河向东流之沁源故事,上映29天,25.3万,1.52
信念一生,上映38天,322.8万,1.49
通往春天的列车,上映9天,317.6万,1.44
辉夜大小姐想让我告白,上映15天,391.0万,1.34
赤焰,上映首日,1.0万,1.01
八佰,上映35天,29.60亿,1905.16
花木兰,上映14天,2.64亿,378.00
信条,上映21天,4.29亿,322.55
死无对证,上映7天,2565.7万,175.55
秀美人生,上映19天,1299.4万,105.03
麦路人,上映8天,1690.6万,101.45
我在时间尽头等你,上映31天,5.03亿,67.39
蓝色防线,上映7天,638.2万,30.85
半条棉被,上映21天,342.3万,28.28
萌宠流浪记,上映7天,693.8万,11.79
误杀,,13.32亿,11.76
假面饭店,上映21天,1677.0万,8.80
阿里巴巴与神灯,上映20天,1759.9万,8.28
邻里美好的一天,上映7天,184.4万,8.24
小妇人,上映31天,4709.4万,7.73
追梦险途,上映37天,67.4万,7.64
1/2的魔法,上映37天,6640.4万,7.47
无“疯”也起浪,上映28天,148.2万,7.10
通往春天的列车,上映8天,316.2万,6.84
芙蓉渡,上映14天,7.8万,4.50
坚守1200秒,上映8天,22.1万,3.99
盗梦空间,,4.95亿,3.01
北平会馆,上映36天,796.3万,2.82
哈利·波特与魔法石,,2.47亿,2.47
辉夜大小姐想让我告白,上映14天,389.6万,2.30
梅艳芳菲,上映31天,95.5万,2.26
半条被子,上映20天,36.5万,1.89
骄傲的少年,上映15天,5.2万,1.29
港珠澳大桥,,830.5万,1.11
八佰,上映34天,29.41亿,1968.06
花木兰,上映13天,2.61亿,421.68
信条,上映20天,4.26亿,343.73
死无对证,上映6天,2390.1万,191.63
麦路人,上映7天,1589.2万,118.17
秀美人生,上映18天,1194.4万,81.97
我在时间尽头等你,上映30天,5.02亿,68.94
蓝色防线,上映6天,607.3万,34.33
半条棉被,上映20天,314.0万,22.11
萌宠流浪记,上映6天,682.0万,11.25
通往春天的列车,上映7天,309.3万,9.77
小妇人,上映30天,4701.7万,9.60
邻里美好的一天,上映6天,176.1万,8.41
无“疯”也起浪,上映27天,141.1万,8.41
阿里巴巴与神灯,上映19天,1751.6万,8.34
1/2的魔法,上映36天,6632.9万,8.33
追梦险途,上映36天,59.8万,8.24
假面饭店,上映20天,1668.2万,6.09
误杀,,13.32亿,5.96
